t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
3.8000000000000003,-0.9818793908363237,-0.812027288819958,83.83401663111361,4,-0.975,-0.7000000000000002,0.06613229679714974,0.1388566685928443,68,66,71,66,66,65,66,74
3.8080000000000003,-0.9818315479553339,-0.8115792459572333,83.97586775908503,4,-0.975,-0.7000000000000002,0.06731535686375775,0.13197390412245324,71,63,69,69,68,72,65,64
3.8160000000000003,-0.9817775042763528,-0.8110671296790677,83.97586775908506,4,-0.975,-0.7000000000000002,0.0672104092089329,0.13258446482876665,63,65,65,62,67,69,72,73
3.8240000000000003,-0.9817174183673698,-0.8104909240452514,84.11771888705648,4,-0.975,-0.7000000000000002,0.06837117477236897,0.12583140452019115,69,68,64,75,71,66,63,65
3.8320000000000003,-0.9816646427344461,-0.8099786755370354,84.11771888705648,4,-0.975,-0.7000000000000002,0.0682701158577055,0.12641934145331435,63,64,69,68,59,65,63,71
3.84,-0.9816059835603307,-0.8094023229104325,84.25957001502793,4,-0.975,-0.7000000000000002,0.0694353217499828,0.11964044835868856,70,68,67,65,67,70,74,68
3.848,-0.9815473243862153,-0.8088259702838295,84.1177188870565,4,-0.975,-0.7000000000000002,0.06804602383858965,0.1277230559736522,68,64,65,66,68,65,67,62
3.856,-0.9814886652120999,-0.8082496176572266,84.25957001502792,4,-0.975,-0.7000000000000002,0.06920884378993594,0.12095804372069452,73,69,62,70,66,70,66,66
3.864,-0.981437157948718,-0.8077372400587517,84.25957001502795,4,-0.975,-0.7000000000000002,0.06910967048074619,0.12153501064584771,67,60,67,71,72,66,72,69
3.872,-0.9813799258690176,-0.8071607439720754,84.40142114299937,4,-0.975,-0.7000000000000002,0.07027706634656058,0.11474337680163726,64,63,65,67,66,63,66,67
3.88,-0.9813296872908877,-0.8066482404239242,84.40142114299937,4,-0.975,-0.7000000000000002,0.0701820229699547,0.11529631675296592,72,68,68,71,63,67,63,64
3.888,-0.9812738826564023,-0.806071604410767,84.54327227097079,4,-0.975,-0.7000000000000002,0.07135413674108428,0.10847723524823971,67,63,73,65,64,65,66,63
3.896,-0.9812249130714583,-0.8055589780542943,84.54327227097082,4,-0.975,-0.7000000000000002,0.07126335210890532,0.10900539882881799,63,64,68,69,65,62,72,66
3.904,-0.9811637010902783,-0.8049181951087035,84.54327227097082,4,-0.975,-0.7000000000000002,0.07114862108146702,0.10967287688981611,68,65,71,64,70,67,67,63
3.912,-0.9811093242430585,-0.8043414227035155,84.68512339894222,4,-0.975,-0.7000000000000002,0.07232435165521903,0.10283275368037126,67,70,67,63,66,68,73,68
3.92,-0.9810616239514561,-0.8038286766808288,84.68512339894221,4,-0.975,-0.7000000000000002,0.07223685174067507,0.10334180754837319,66,68,67,65,65,73,72,62
3.928,-0.981001998586953,-0.8031877441524704,84.68512339894224,4,-0.975,-0.7000000000000002,0.0721262515143646,0.10398525358256272,66,64,65,68,68,70,68,63
3.936,-0.980949049860298,-0.8026108388905377,84.82697452691366,4,-0.975,-0.7000000000000002,0.07330578352591886,0.09712301450446481,62,66,64,69,66,67,67,63
3.944,-0.9809026191544127,-0.8020979763444779,84.82697452691366,4,-0.975,-0.7000000000000002,0.0732217365753682,0.09761197984225478,66,70,75,65,62,63,69,64
3.952,-0.980844580772056,-0.801456898161903,84.82697452691363,4,-0.975,-0.7000000000000002,0.07311548071429988,0.09823015138398272,69,68,68,61,63,66,63,66
3.96,-0.9807930604905112,-0.8008798635793263,84.96882565488511,4,-0.975,-0.7000000000000002,0.07429901157627877,0.09134464793715001,65,66,67,77,69,66,65,63
3.968,-0.9807415402089663,-0.8003028289967495,84.82697452691365,4,-0.975,-0.7000000000000002,0.07292814863807269,0.09932000522556983,66,66,67,66,66,63,64,67
3.976,-0.9806900199274214,-0.7997257944141728,84.96882565488507,4,-0.975,-0.7000000000000002,0.0741095138442397,0.09244710105353127,65,70,67,73,69,62,67,69
3.984,-0.9806399284067768,-0.7991486340478451,85.1106767828565,4,-0.975,-0.7000000000000002,0.0752972117573326,0.08553735468601896,69,65,66,67,66,69,73,69
3.992,-0.9805850650462102,-0.7985072763460379,85.11067678285647,4,-0.975,-0.7000000000000002,0.07520130280511121,0.08609533035215278,69,66,68,67,71,64,62,67
4.0,-0.9805364025934983,-0.7979299937336235,85.25252791082795,4,-0.975,-0.7000000000000002,0.07639433773174333,0.07915453449847966,69,65,73,71,65,74,65,67
4.008,-0.9804877401407863,-0.7973527111212091,85.11067678285652,4,-0.975,-0.7000000000000002,0.07503305903151763,0.08707413295054867,67,68,70,71,66,67,73,68
